household_id,country,urban_rural,income_decile,age_head_band,household_size,dwelling_type,dwelling_age_band,building_efficiency_class,heating_fuel,annual_income_eur,annual_energy_spend_eur,is_energy_burdened
43,PT,urban,10,<35,4,apartment,20-50yr,E,gas,50118.15,823.77,0
44,IT,urban,3,35-65,5,apartment,20-50yr,E,electric,15200.79,2304.93,1
45,PT,urban,9,35-65,4,house,20-50yr,B,electric,39280.58,633.87,0
46,PT,rural,4,35-65,2,apartment,>50yr,G,wood,19689.5,1359.4,0
47,ES,urban,1,>65,2,apartment,20-50yr,D,gas,7694.32,2142.29,1
48,IT,rural,10,<35,3,house,<20yr,C,district,56239.18,367.34,0
49,PT,urban,6,<35,1,apartment,>50yr,D,electric,24883.33,772.08,0
50,IT,rural,3,35-65,1,apartment,20-50yr,E,district,15549.45,1045.26,0
51,IT,urban,1,35-65,2,apartment,>50yr,A,electric,9586.66,748.43,0
52,IT,urban,2,35-65,3,apartment,20-50yr,D,gas,9486.25,1538.39,1
53,PT,suburban,2,35-65,4,apartment,20-50yr,E,gas,14322.19,2601.14,1
54,PT,urban,10,35-65,3,apartment,>50yr,E,gas,48367.0,875.39,0
55,PT,rural,2,>65,1,apartment,<20yr,D,gas,10700.13,1941.72,1
56,PT,urban,2,35-65,2,apartment,20-50yr,D,wood,10160.97,1436.51,1
57,ES,suburban,9,<35,1,house,20-50yr,C,gas,53912.55,348.56,0
58,ES,suburban,9,35-65,4,house,>50yr,C,gas,36674.06,603.1,0
59,IT,suburban,3,35-65,3,apartment,20-50yr,E,gas,15590.92,1808.56,1
60,IT,urban,7,35-65,2,house,>50yr,D,electric,21540.67,721.49,0
61,PT,urban,6,35-65,2,apartment,>50yr,C,gas,28246.01,708.09,0
62,ES,urban,6,35-65,4,house,20-50yr,C,gas,24292.85,554.4,0
63,ES,urban,4,35-65,1,house,20-50yr,E,wood,16544.07,836.33,0
64,PT,urban,8,>65,1,house,<20yr,E,gas,32452.03,965.94,0
65,ES,rural,9,35-65,2,house,20-50yr,D,district,42572.59,485.48,0
66,ES,suburban,8,<35,4,apartment,<20yr,E,gas,34133.34,870.87,0
67,ES,suburban,10,35-65,3,apartment,20-50yr,E,oil,43978.39,611.14,0
68,IT,urban,2,35-65,2,apartment,20-50yr,A,oil,9778.29,546.27,0
69,IT,urban,7,>65,5,apartment,>50yr,D,gas,33816.85,986.03,0
70,ES,suburban,10,35-65,7,house,20-50yr,C,oil,51776.34,620.91,0
71,IT,urban,6,35-65,3,apartment,20-50yr,F,gas,22204.35,1025.69,0
72,ES,urban,10,>65,6,apartment,20-50yr,C,gas,55384.98,690.51,0
73,LV,suburban,4,35-65,3,house,<20yr,D,wood,18830.75,960.07,0
74,IT,suburban,9,<35,4,house,20-50yr,E,district,47404.7,679.73,0
75,IT,rural,10,35-65,2,house,>50yr,E,gas,57859.47,607.81,0
76,IT,urban,7,35-65,3,apartment,20-50yr,F,oil,35964.81,1299.26,0
77,IT,suburban,8,35-65,4,house,20-50yr,D,gas,36266.52,719.36,0
78,PT,urban,6,>65,2,apartment,>50yr,C,gas,24130.11,776.14,0
79,ES,urban,4,35-65,3,house,<20yr,E,gas,19949.78,973.86,0
80,PT,suburban,6,35-65,2,apartment,>50yr,F,electric,22479.35,1110.24,0
81,PT,urban,10,<35,5,apartment,<20yr,G,oil,51764.62,1305.47,0
82,ES,suburban,1,<35,1,other,>50yr,E,electric,6299.55,1982.42,1
83,PT,urban,3,35-65,5,apartment,>50yr,D,district,18377.74,2030.37,1
84,IT,urban,5,35-65,3,apartment,>50yr,B,wood,28712.48,339.6,0
85,IT,rural,4,35-65,3,apartment,<20yr,G,gas,17046.55,1187.72,0
86,IT,urban,7,35-65,1,other,20-50yr,E,gas,33640.04,711.49,0
87,PT,suburban,4,<35,1,house,>50yr,C,electric,19436.14,613.47,0
88,ES,urban,7,35-65,3,apartment,20-50yr,D,gas,30864.52,666.82,0
89,IT,rural,2,35-65,2,house,20-50yr,E,gas,13200.01,1508.1,1
90,ES,urban,4,35-65,1,apartment,20-50yr,C,gas,14475.78,659.66,0
91,IT,urban,7,35-65,3,house,<20yr,F,electric,29179.62,1012.2,0
92,PT,suburban,5,>65,4,apartment,20-50yr,E,electric,15355.8,2023.69,1
93,ES,urban,8,35-65,1,apartment,<20yr,C,oil,30934.25,439.37,0
94,ES,urban,7,35-65,3,house,20-50yr,G,wood,23508.1,854.55,0
95,IT,rural,4,35-65,1,other,20-50yr,G,district,13283.56,936.91,0
96,ES,suburban,5,35-65,3,apartment,<20yr,C,wood,19496.06,470.32,0
97,ES,suburban,10,>65,2,apartment,<20yr,D,gas,58094.2,778.22,0
98,IT,suburban,10,35-65,1,other,>50yr,G,electric,49776.64,728.84,0
99,IT,rural,1,35-65,1,apartment,20-50yr,D,gas,7371.91,1478.64,1
100,LV,rural,8,35-65,6,apartment,20-50yr,G,district,32243.3,1731.85,0
101,LV,suburban,5,35-65,4,apartment,>50yr,C,electric,21446.94,1018.61,0
102,PT,urban,1,>65,4,apartment,20-50yr,F,gas,7306.49,5094.06,1
103,IT,urban,7,>65,2,apartment,20-50yr,E,oil,25795.86,838.16,0
104,LV,suburban,1,<35,3,apartment,20-50yr,D,electric,9200.8,2081.38,1
105,PT,rural,4,<35,5,apartment,20-50yr,F,district,15353.62,1448.18,0
106,PT,suburban,7,35-65,1,apartment,20-50yr,A,gas,24789.57,273.69,0
107,ES,urban,9,35-65,2,house,20-50yr,C,gas,48047.36,469.03,0
108,IT,urban,5,>65,2,apartment,>50yr,C,district,16312.86,679.01,0
109,IT,suburban,9,35-65,3,house,20-50yr,B,electric,51707.49,415.51,0
110,LV,rural,9,>65,2,apartment,20-50yr,A,gas,36866.37,448.18,0
111,ES,urban,5,35-65,1,apartment,20-50yr,D,electric,21254.05,627.76,0
112,IT,suburban,2,<35,2,apartment,<20yr,C,oil,9475.48,1008.7,1
113,IT,suburban,7,<35,2,apartment,20-50yr,B,gas,30058.32,306.76,0
114,ES,rural,1,35-65,1,house,>50yr,C,gas,7398.6,1043.78,1
115,IT,urban,9,<35,3,apartment,>50yr,F,gas,37107.61,565.58,0
116,LV,rural,4,35-65,2,house,>50yr,B,gas,13758.51,636.18,0
117,PT,suburban,8,35-65,1,other,20-50yr,F,gas,33195.16,894.51,0
118,PT,suburban,8,35-65,2,apartment,20-50yr,B,gas,38658.88,431.95,0
119,ES,urban,5,35-65,4,other,<20yr,A,oil,23235.41,351.06,0
120,ES,suburban,10,>65,2,apartment,20-50yr,D,electric,49379.9,879.67,0
121,ES,suburban,8,35-65,2,apartment,20-50yr,D,electric,32332.89,618.78,0
122,ES,urban,9,35-65,1,apartment,<20yr,E,gas,41890.16,621.29,0
123,IT,urban,1,35-65,2,house,<20yr,F,electric,8001.65,2333.53,1
124,ES,suburban,5,35-65,3,house,<20yr,D,gas,20989.73,735.91,0
125,IT,suburban,10,>65,1,other,20-50yr,C,district,51534.45,368.8,0
126,ES,urban,9,35-65,3,house,<20yr,F,gas,40705.76,1057.98,0
127,IT,urban,5,35-65,3,apartment,20-50yr,C,wood,20114.36,493.13,0
128,IT,urban,1,35-65,1,house,20-50yr,F,electric,5568.72,2154.09,1
129,IT,rural,3,35-65,3,other,20-50yr,E,wood,13173.64,1161.75,0
130,ES,rural,6,35-65,1,house,<20yr,C,wood,28111.97,396.64,0
131,IT,urban,7,35-65,6,house,20-50yr,D,wood,36972.87,671.78,0
132,LV,urban,10,35-65,3,house,>50yr,D,electric,65614.56,1134.72,0
133,ES,urban,1,>65,1,apartment,20-50yr,E,gas,8108.83,2314.76,1
134,IT,suburban,4,35-65,2,other,20-50yr,G,oil,14641.63,1123.64,0
135,ES,rural,3,<35,1,other,20-50yr,D,gas,12895.83,941.17,0
136,IT,suburban,10,35-65,1,house,20-50yr,G,gas,49060.73,827.16,0
137,LV,urban,2,<35,1,apartment,20-50yr,C,wood,8904.34,1002.44,1
138,ES,urban,3,35-65,2,apartment,20-50yr,B,electric,12155.06,774.78,0
139,PT,urban,3,35-65,1,other,20-50yr,E,gas,12550.06,1685.81,1
140,IT,rural,2,35-65,3,house,>50yr,G,wood,8923.43,2132.14,1
141,ES,suburban,7,35-65,1,house,>50yr,D,gas,34505.34,654.41,0
142,ES,suburban,6,35-65,2,other,20-50yr,F,wood,27391.63,792.51,0
143,LV,urban,6,35-65,1,apartment,20-50yr,D,wood,24816.2,716.08,0
144,ES,rural,10,35-65,6,house,>50yr,G,gas,58240.86,1374.81,0
145,ES,urban,5,35-65,3,apartment,20-50yr,F,gas,21986.05,865.12,0
146,IT,rural,4,>65,5,apartment,>50yr,E,district,15676.73,1323.83,0
147,IT,rural,4,<35,5,apartment,>50yr,E,gas,22920.66,935.16,0
148,ES,suburban,9,35-65,2,apartment,20-50yr,E,district,38317.43,626.92,0
149,ES,rural,6,<35,4,apartment,20-50yr,G,electric,19466.12,1312.14,0
150,IT,urban,2,35-65,3,house,<20yr,E,gas,11269.4,2091.65,1
151,PT,suburban,7,<35,2,apartment,>50yr,D,oil,32649.72,580.9,0
152,LV,urban,8,35-65,4,house,20-50yr,G,electric,34406.16,1751.19,0
153,IT,suburban,3,<35,7,apartment,20-50yr,E,gas,16873.77,1693.19,1
154,ES,urban,6,35-65,3,house,20-50yr,E,electric,25686.61,955.93,0
155,IT,urban,6,35-65,1,apartment,>50yr,E,gas,22104.5,610.23,0
156,PT,urban,2,35-65,2,house,>50yr,D,gas,10062.67,2286.9,1
157,IT,urban,1,<35,3,house,<20yr,D,wood,8180.36,1322.0,1
158,PT,suburban,8,35-65,1,apartment,20-50yr,C,electric,36437.38,562.87,0
159,PT,suburban,7,>65,5,apartment,20-50yr,G,oil,35988.96,2096.29,0
160,PT,urban,8,<35,2,apartment,>50yr,E,electric,40802.27,835.35,0
161,IT,rural,4,>65,3,apartment,>50yr,F,electric,13832.93,1583.78,1
162,LV,rural,6,35-65,4,apartment,20-50yr,D,gas,24375.22,1113.96,0
163,IT,urban,10,35-65,6,apartment,>50yr,G,district,45645.24,911.47,0
164,IT,urban,3,35-65,4,house,20-50yr,D,electric,17423.96,1480.94,0
165,ES,suburban,7,<35,4,apartment,<20yr,D,district,25924.13,702.15,0
166,ES,suburban,2,35-65,3,apartment,>50yr,G,wood,11338.55,1792.41,1
167,PT,urban,1,<35,1,apartment,20-50yr,E,oil,7204.93,2055.45,1
168,PT,suburban,10,35-65,2,apartment,>50yr,G,electric,40876.26,1266.47,0
169,IT,urban,2,35-65,2,apartment,20-50yr,E,gas,9112.05,1597.01,1
170,LV,urban,7,>65,2,house,20-50yr,C,gas,28898.41,1001.87,0
171,IT,suburban,6,35-65,3,house,20-50yr,D,oil,27225.7,707.15,0
172,ES,suburban,9,>65,3,apartment,20-50yr,G,gas,46564.97,1035.69,0
173,IT,rural,6,<35,2,apartment,<20yr,D,gas,20476.25,535.57,0
174,LV,urban,7,35-65,3,apartment,>50yr,F,electric,31443.51,1531.86,0
175,IT,urban,9,35-65,1,house,20-50yr,C,gas,49584.02,449.24,0
176,IT,urban,9,<35,5,apartment,20-50yr,D,gas,46437.41,595.3,0
177,ES,urban,8,<35,5,house,20-50yr,F,electric,34098.79,1052.01,0
178,LV,urban,2,35-65,1,house,20-50yr,G,gas,11079.62,2630.92,1
179,LV,suburban,2,<35,2,house,20-50yr,D,gas,11254.41,1754.86,1
180,PT,suburban,5,35-65,2,apartment,20-50yr,C,gas,25895.71,655.91,0
181,LV,suburban,7,>65,4,other,20-50yr,A,electric,38721.59,696.49,0
182,LV,urban,7,35-65,2,apartment,20-50yr,B,district,33047.0,481.25,0
183,ES,urban,8,<35,1,apartment,20-50yr,F,gas,36289.63,578.04,0
184,IT,suburban,2,<35,5,house,<20yr,D,oil,10948.85,1685.72,1
185,PT,urban,2,<35,4,house,20-50yr,C,gas,11120.48,1346.97,1
186,PT,rural,2,35-65,3,apartment,>50yr,F,electric,11344.16,3241.81,1
187,ES,urban,6,35-65,5,apartment,20-50yr,F,gas,23137.14,1114.1,0
188,IT,suburban,7,35-65,2,apartment,>50yr,D,wood,40302.65,510.46,0
189,PT,rural,2,<35,1,house,<20yr,G,oil,9767.93,2359.9,1
190,IT,suburban,9,35-65,3,apartment,>50yr,D,oil,52223.52,540.9,0
191,LV,suburban,4,35-65,2,apartment,>50yr,C,gas,12585.15,777.45,0
192,IT,suburban,7,35-65,1,apartment,20-50yr,G,wood,28786.12,628.52,0
193,IT,urban,8,>65,2,other,20-50yr,C,gas,34216.03,579.98,0
194,PT,suburban,1,35-65,1,house,<20yr,G,electric,8279.22,4056.78,1
195,IT,rural,9,35-65,2,apartment,>50yr,E,wood,40713.15,584.04,0
196,IT,rural,10,>65,1,other,20-50yr,G,electric,67709.92,1121.83,0
197,ES,urban,10,35-65,2,apartment,20-50yr,C,wood,53036.83,309.76,0
198,LV,urban,2,35-65,1,house,<20yr,D,oil,9426.28,1957.86,1
199,IT,suburban,4,35-65,5,house,<20yr,G,wood,15139.48,1373.23,0
200,IT,suburban,3,35-65,3,apartment,>50yr,F,gas,13041.23,1870.59,1
201,PT,urban,5,35-65,2,house,20-50yr,G,gas,23410.22,1387.02,0
202,LV,urban,10,35-65,1,other,20-50yr,C,electric,63001.56,659.89,0
203,ES,urban,8,35-65,2,apartment,<20yr,E,electric,30059.39,759.34,0
204,IT,suburban,8,35-65,1,apartment,20-50yr,D,oil,31928.59,525.93,0
205,IT,urban,5,35-65,2,house,>50yr,D,electric,17898.03,733.35,0
206,IT,urban,10,>65,2,apartment,>50yr,E,oil,52694.75,658.93,0
207,IT,urban,10,<35,5,apartment,20-50yr,F,gas,63537.59,777.52,0
208,PT,rural,9,<35,4,apartment,20-50yr,E,gas,44120.02,1106.48,0
209,IT,urban,9,35-65,1,house,<20yr,C,district,46698.91,311.41,0
210,ES,urban,7,35-65,5,house,20-50yr,F,gas,33556.49,1348.2,0
211,PT,suburban,1,35-65,3,other,20-50yr,G,gas,7325.97,4134.84,1
212,ES,urban,3,<35,2,apartment,>50yr,D,oil,11552.66,976.03,0
213,IT,rural,8,35-65,1,other,<20yr,F,gas,32963.92,686.78,0
214,PT,rural,4,35-65,2,apartment,20-50yr,G,electric,19794.52,1509.96,0
215,PT,urban,2,<35,3,house,20-50yr,C,oil,12041.1,1507.9,1
216,PT,urban,10,35-65,2,house,20-50yr,F,electric,55656.51,930.29,0
217,IT,urban,5,35-65,2,apartment,20-50yr,G,district,24212.15,754.6,0
218,IT,urban,9,35-65,3,house,20-50yr,F,wood,43949.73,701.68,0
219,LV,urban,3,35-65,1,apartment,20-50yr,A,electric,13320.18,597.83,0
220,ES,urban,4,<35,2,apartment,20-50yr,E,district,13830.56,698.69,0
221,IT,urban,4,35-65,7,house,20-50yr,F,gas,21176.61,1387.97,0
222,ES,suburban,4,<35,1,apartment,>50yr,E,gas,17249.63,658.28,0
223,PT,urban,5,<35,3,house,<20yr,A,oil,19625.15,333.71,0
224,LV,urban,3,>65,1,apartment,20-50yr,B,electric,13786.05,1318.36,0
225,IT,suburban,9,<35,3,apartment,>50yr,F,gas,53839.75,826.49,0
226,LV,urban,4,<35,4,house,20-50yr,D,gas,20309.69,1136.18,0
227,IT,urban,5,>65,1,apartment,20-50yr,G,gas,19896.06,1244.47,0
228,ES,urban,9,35-65,5,other,>50yr,D,gas,46139.21,751.27,0
229,ES,urban,5,35-65,1,other,20-50yr,F,gas,25243.93,997.78,0
230,IT,urban,1,35-65,1,apartment,>50yr,A,district,8427.97,458.33,0
231,IT,rural,1,>65,4,apartment,<20yr,F,wood,8146.19,2626.79,1
232,ES,rural,5,<35,3,apartment,>50yr,G,electric,15347.88,1214.97,0
233,LV,urban,7,<35,2,house,<20yr,D,electric,36163.9,793.77,0
234,ES,urban,10,>65,1,apartment,20-50yr,D,gas,47138.28,688.15,0
235,LV,suburban,2,35-65,1,other,>50yr,G,electric,8308.57,3355.56,1
236,PT,suburban,6,>65,3,other,20-50yr,F,electric,19072.18,1655.26,0
237,ES,urban,3,35-65,1,apartment,20-50yr,E,wood,12314.67,1094.41,0
238,PT,urban,5,>65,2,house,<20yr,D,gas,22587.97,1315.82,0
239,IT,urban,5,35-65,1,apartment,<20yr,G,district,24993.54,824.91,0
240,IT,suburban,4,35-65,1,apartment,20-50yr,F,wood,18420.23,831.63,0
241,PT,urban,1,>65,4,apartment,20-50yr,D,gas,10378.83,3352.02,1
242,PT,urban,1,<35,6,house,20-50yr,D,district,7530.56,2411.07,1
243,IT,urban,6,<35,2,apartment,>50yr,B,gas,24144.7,377.21,0
244,ES,urban,3,35-65,4,house,>50yr,F,district,10580.82,1935.07,1
245,ES,suburban,4,>65,2,apartment,>50yr,F,electric,16051.95,1540.24,0
246,LV,suburban,1,<35,4,house,20-50yr,D,electric,5889.3,2774.67,1
247,ES,suburban,1,>65,1,other,20-50yr,D,electric,6541.61,1736.26,1
248,ES,urban,2,35-65,2,house,20-50yr,C,electric,12090.42,1340.65,1
249,ES,urban,4,35-65,2,apartment,20-50yr,C,wood,13587.36,505.06,0
250,ES,rural,2,35-65,3,apartment,20-50yr,G,wood,8668.25,2001.82,1
251,PT,suburban,3,>65,1,apartment,>50yr,F,electric,10755.17,2062.24,1
252,LV,urban,4,<35,3,apartment,20-50yr,D,wood,19661.38,879.23,0
253,ES,urban,3,35-65,3,other,20-50yr,B,electric,17901.65,828.45,0
254,IT,rural,1,<35,4,apartment,20-50yr,B,electric,7910.82,982.49,1
255,IT,suburban,2,>65,1,apartment,20-50yr,F,gas,12671.15,1906.78,1
256,PT,rural,10,35-65,1,house,20-50yr,C,wood,46188.15,318.21,0
257,PT,suburban,7,<35,3,apartment,20-50yr,D,electric,36077.93,898.89,0
258,IT,urban,2,35-65,1,house,>50yr,G,electric,9880.3,2742.6,1
259,IT,urban,3,35-65,3,apartment,20-50yr,E,oil,15474.51,1394.2,0
260,ES,urban,4,35-65,3,apartment,20-50yr,F,wood,17428.69,1039.54,0
261,IT,suburban,10,>65,1,house,>50yr,B,gas,41249.45,337.03,0
262,PT,suburban,9,35-65,3,apartment,>50yr,D,gas,37653.51,832.65,0
263,IT,urban,8,35-65,4,other,>50yr,G,gas,36935.87,1132.91,0
264,IT,rural,2,35-65,1,apartment,20-50yr,F,gas,8334.87,1863.94,1
265,LV,urban,5,35-65,1,apartment,20-50yr,F,gas,21955.24,1145.64,0
266,IT,urban,5,<35,2,apartment,20-50yr,E,wood,16980.77,570.78,0
267,IT,urban,7,<35,1,apartment,>50yr,C,gas,32534.19,419.55,0
268,IT,rural,9,35-65,3,house,>50yr,E,wood,35061.74,625.56,0
269,IT,rural,4,35-65,4,apartment,20-50yr,B,district,18702.89,497.1,0
270,IT,suburban,6,<35,5,house,20-50yr,C,gas,28257.73,600.69,0
271,IT,rural,3,35-65,3,other,20-50yr,E,electric,13651.47,1650.09,1
272,IT,rural,3,35-65,2,apartment,<20yr,A,gas,13832.73,450.39,0
273,IT,rural,4,35-65,4,house,20-50yr,C,oil,21868.17,579.74,0
274,ES,rural,8,<35,2,apartment,<20yr,C,electric,32009.64,484.23,0
275,PT,urban,5,35-65,2,house,20-50yr,D,electric,19382.8,1164.28,0
276,ES,suburban,7,<35,1,apartment,20-50yr,G,wood,33026.01,651.44,0
277,IT,suburban,7,35-65,2,house,20-50yr,G,wood,31961.91,794.47,0
278,ES,suburban,4,<35,5,apartment,20-50yr,C,electric,16874.04,814.83,0
279,LV,urban,10,35-65,1,apartment,<20yr,C,wood,45836.43,352.32,0
280,LV,suburban,1,35-65,5,apartment,20-50yr,F,district,9257.98,3841.71,1
281,IT,rural,9,<35,2,apartment,<20yr,C,electric,35711.4,405.96,0
282,IT,urban,1,35-65,1,house,<20yr,F,gas,11259.05,1682.68,1
283,IT,rural,4,35-65,4,apartment,>50yr,B,wood,14627.02,434.6,0
284,IT,urban,9,35-65,1,other,<20yr,E,wood,36430.79,387.73,0
285,ES,urban,7,35-65,1,apartment,20-50yr,C,electric,31577.95,548.24,0
286,ES,urban,4,35-65,1,apartment,20-50yr,F,oil,19002.47,930.5,0
287,IT,suburban,9,35-65,4,apartment,20-50yr,E,gas,37155.28,786.74,0
288,ES,suburban,2,35-65,1,apartment,20-50yr,C,electric,14178.97,1234.13,0
289,ES,urban,7,35-65,3,house,>50yr,D,wood,31521.09,590.01,0
290,IT,suburban,6,35-65,3,apartment,20-50yr,E,wood,24087.42,733.91,0
291,PT,urban,3,35-65,3,house,20-50yr,G,gas,14834.53,2844.32,1
292,IT,urban,10,<35,1,apartment,>50yr,D,gas,65952.49,353.79,0
293,LV,rural,8,35-65,4,apartment,<20yr,C,gas,45828.37,1000.59,0
294,IT,suburban,1,<35,2,apartment,20-50yr,E,gas,8234.82,1852.9,1
295,PT,suburban,1,<35,1,house,20-50yr,C,wood,6608.32,1079.33,1
296,LV,suburban,1,35-65,5,apartment,<20yr,G,gas,6623.79,5209.91,1
297,LV,rural,5,>65,2,other,>50yr,F,wood,16984.21,1567.68,0
298,PT,urban,5,<35,2,apartment,>50yr,B,electric,19070.59,587.6,0
299,PT,urban,8,35-65,1,apartment,20-50yr,E,oil,36204.63,953.24,0
300,ES,urban,7,35-65,1,house,20-50yr,E,electric,30978.33,727.0,0
301,PT,suburban,1,>65,5,house,20-50yr,C,wood,9472.96,2532.43,1
302,IT,suburban,5,35-65,6,house,20-50yr,E,electric,15386.97,1309.0,0
303,ES,suburban,8,<35,3,apartment,20-50yr,D,gas,35941.94,494.98,0
304,ES,urban,9,<35,4,house,>50yr,D,electric,46077.36,717.18,0
305,LV,urban,3,35-65,3,apartment,20-50yr,E,electric,9187.63,2971.64,1
306,ES,suburban,1,<35,3,other,20-50yr,E,gas,8563.2,2114.69,1
307,ES,rural,2,>65,2,apartment,>50yr,F,district,16566.92,2264.12,1
308,ES,urban,4,>65,2,house,>50yr,D,oil,19652.51,949.89,0
309,IT,urban,5,>65,4,apartment,20-50yr,F,gas,21992.58,1588.51,0
310,IT,urban,4,35-65,1,house,20-50yr,D,oil,16796.34,651.9,0
311,ES,urban,1,35-65,1,house,>50yr,E,gas,8284.28,2042.12,1
312,ES,urban,4,35-65,2,house,20-50yr,C,electric,22038.05,744.12,0
313,IT,urban,3,<35,3,apartment,20-50yr,E,gas,13290.45,1247.58,0
314,ES,suburban,5,35-65,5,apartment,20-50yr,D,gas,25117.36,977.28,0
315,ES,urban,1,<35,3,house,>50yr,D,gas,8576.79,1520.15,1
316,IT,urban,8,35-65,2,house,20-50yr,B,electric,45947.87,391.17,0
317,ES,urban,5,>65,2,house,<20yr,E,gas,24726.61,909.62,0
318,PT,rural,4,>65,3,apartment,20-50yr,A,gas,18004.68,654.84,0
319,IT,urban,10,35-65,1,apartment,>50yr,D,gas,56041.53,419.58,0
320,LV,urban,8,35-65,3,apartment,20-50yr,D,gas,34347.46,923.38,0
321,LV,urban,2,<35,5,house,20-50yr,E,electric,12736.01,3133.99,1
322,ES,suburban,2,35-65,1,apartment,20-50yr,G,gas,10068.02,1811.75,1
323,IT,rural,1,<35,3,apartment,20-50yr,G,electric,8137.67,2577.95,1
324,ES,urban,6,35-65,2,house,>50yr,G,electric,24285.1,1239.61,0
325,PT,urban,4,35-65,2,apartment,20-50yr,G,gas,14310.84,1833.95,1
326,PT,urban,4,>65,1,house,>50yr,B,oil,18088.24,624.41,0
327,PT,suburban,6,>65,1,apartment,20-50yr,C,oil,19887.17,709.35,0
328,ES,rural,6,<35,1,apartment,<20yr,C,oil,23374.49,355.34,0
329,ES,urban,1,35-65,2,apartment,20-50yr,B,electric,8842.0,1383.7,1
330,IT,urban,2,<35,2,apartment,<20yr,F,gas,11282.26,1660.96,1
331,PT,suburban,8,35-65,1,house,>50yr,G,electric,36835.49,1226.58,0
332,IT,suburban,10,35-65,2,apartment,>50yr,E,district,48309.38,480.49,0
333,PT,urban,9,<35,3,apartment,<20yr,G,electric,50326.42,1277.04,0
334,LV,urban,10,<35,3,apartment,20-50yr,F,oil,48154.29,906.58,0
335,IT,urban,5,35-65,4,house,>50yr,D,electric,23347.17,1078.72,0
336,ES,suburban,9,<35,3,house,20-50yr,B,district,52249.43,308.32,0
337,IT,suburban,9,>65,1,apartment,>50yr,G,gas,34179.22,984.23,0
